metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,1,0.8764044943820225,1.0
log_odds_ratio,3188,0.7412935323383084,3188.0
gini_gain,3188,0.7386609071274298,3188.0
chi_squared,3188,0.7386609071274298,3188.0
lift,3188,0.7327188940092166,3188.0
wracc,3188,0.7325842696629213,3188.0
query_weighted_wracc,3188,0.7325842696629213,3188.0
balanced_precision_proxy,3188,0.7325842696629213,3188.0
youdens_j,3188,0.7325842696629213,3188.0
matthews_correlation,3188,0.7289293849658315,3188.0
information_gain,3188,0.7289293849658315,3188.0
g_test,3188,0.7289293849658315,3188.0
stability,1878,0.6353383458646616,1878.0
delta_stability,3188,0.5660964230171073,3188.0
