metric,best_k,best_f1,avg_classifiers_kept
query_weighted_precision,1,0.8179526068808173,1.0
matthews_correlation,196,0.393983556358868,196.0
balanced_precision_proxy,348,0.388763062939333,348.0
youdens_j,348,0.388763062939333,348.0
information_gain,45,0.3841823314300379,45.0
g_test,45,0.3841823314300379,45.0
gini_gain,263,0.3814486747820081,263.0
chi_squared,196,0.3754724444756604,196.0
wracc,101,0.3581387181738367,101.0
query_weighted_wracc,109,0.3581387181738367,109.0
log_odds_ratio,61,0.2518672816545157,61.0
lift,741,0.2125030012004802,741.0
stability,75,0.19471794871794873,75.0
delta_stability,4925,0.18923076923076923,4925.0
