metric,best_k,best_f1,avg_classifiers_kept
interval_tightness,16,0.9135802469135802,16.0
simplicity_prior,16,0.9135802469135802,16.0
query_similarity,16,0.9135802469135802,16.0
query_weighted_precision,21,0.9124423963133641,21.0
log_odds_ratio,1556,0.9102564102564102,1556.0
description_volume,21,0.9049079754601227,21.0
log_odds_ratio_log_tp,509,0.9045383411580594,509.0
precision,1383,0.9034267912772586,1383.0
balanced_precision_proxy,2458,0.8711864406779661,2458.0
query_weighted_precision_log_tp,16,0.8652246256239601,16.0
precision_log_tp,145,0.6341463414634146,145.0
query_weighted_precision_sqrt_tp,2571,0.591792656587473,2571.0
precision_sqrt_tp,2571,0.5575221238938053,2571.0
