query_idx,y_true,positive_before,negative_before,total_before,positive_after,negative_after,total_after,lost_positive,lost_negative,lost_all
0,0,1305,2007,3312,268,500,768,False,False,False
1,1,1305,2007,3312,461,478,939,False,False,False
2,1,1305,2007,3312,203,469,672,False,False,False
3,1,1305,2007,3312,207,508,715,False,False,False
4,0,1305,2007,3312,936,1215,2151,False,False,False
5,0,1305,2007,3312,316,720,1036,False,False,False
6,0,1305,2007,3312,1294,2007,3301,False,False,False
7,0,1305,2007,3312,213,415,628,False,False,False
8,0,1305,2007,3312,247,517,764,False,False,False
9,0,1305,2007,3312,256,600,856,False,False,False
10,0,1305,2007,3312,249,857,1106,False,False,False
11,0,1305,2007,3312,234,382,616,False,False,False
12,1,1305,2007,3312,221,508,729,False,False,False
13,1,1305,2007,3312,1304,465,1769,False,False,False
14,0,1305,2007,3312,260,666,926,False,False,False
15,0,1305,2007,3312,217,438,655,False,False,False
16,1,1305,2007,3312,199,578,777,False,False,False
17,1,1305,2007,3312,522,507,1029,False,False,False
18,1,1305,2007,3312,201,448,649,False,False,False
19,0,1305,2007,3312,301,520,821,False,False,False
20,0,1305,2007,3312,244,617,861,False,False,False
21,0,1305,2007,3312,267,560,827,False,False,False
22,0,1305,2007,3312,241,386,627,False,False,False
23,0,1305,2007,3312,269,670,939,False,False,False
24,0,1305,2007,3312,548,1303,1851,False,False,False
25,0,1305,2007,3312,222,442,664,False,False,False
26,1,1305,2007,3312,409,473,882,False,False,False
27,0,1305,2007,3312,232,533,765,False,False,False
28,0,1305,2007,3312,506,2007,2513,False,False,False
29,0,1305,2007,3312,231,841,1072,False,False,False
30,1,1305,2007,3312,228,609,837,False,False,False
31,0,1305,2007,3312,220,530,750,False,False,False
32,1,1305,2007,3312,923,537,1460,False,False,False
33,0,1305,2007,3312,290,478,768,False,False,False
34,0,1305,2007,3312,803,2006,2809,False,False,False
35,1,1305,2007,3312,247,474,721,False,False,False
36,0,1305,2007,3312,240,374,614,False,False,False
37,0,1305,2007,3312,222,464,686,False,False,False
38,0,1305,2007,3312,245,430,675,False,False,False
39,0,1305,2007,3312,246,462,708,False,False,False
40,1,1305,2007,3312,228,518,746,False,False,False
41,0,1305,2007,3312,333,639,972,False,False,False
42,0,1305,2007,3312,207,470,677,False,False,False
43,1,1305,2007,3312,242,463,705,False,False,False
44,0,1305,2007,3312,286,537,823,False,False,False
45,1,1305,2007,3312,220,464,684,False,False,False
46,0,1305,2007,3312,258,457,715,False,False,False
47,1,1305,2007,3312,203,509,712,False,False,False
48,0,1305,2007,3312,220,417,637,False,False,False
49,0,1305,2007,3312,253,483,736,False,False,False
50,0,1305,2007,3312,1301,2006,3307,False,False,False
51,1,1305,2007,3312,215,443,658,False,False,False
52,0,1305,2007,3312,224,500,724,False,False,False
53,0,1305,2007,3312,242,454,696,False,False,False
54,0,1305,2007,3312,217,402,619,False,False,False
55,1,1305,2007,3312,226,530,756,False,False,False
56,1,1305,2007,3312,1244,557,1801,False,False,False
57,1,1305,2007,3312,266,611,877,False,False,False
58,0,1305,2007,3312,309,1801,2110,False,False,False
59,1,1305,2007,3312,1304,606,1910,False,False,False
60,1,1305,2007,3312,752,505,1257,False,False,False
61,0,1305,2007,3312,257,2007,2264,False,False,False
62,0,1305,2007,3312,286,733,1019,False,False,False
63,0,1305,2007,3312,322,685,1007,False,False,False
64,1,1305,2007,3312,227,543,770,False,False,False
65,1,1305,2007,3312,1305,557,1862,False,False,False
66,0,1305,2007,3312,230,425,655,False,False,False
67,0,1305,2007,3312,244,458,702,False,False,False
68,0,1305,2007,3312,266,671,937,False,False,False
69,1,1305,2007,3312,214,477,691,False,False,False
70,0,1305,2007,3312,260,538,798,False,False,False
71,0,1305,2007,3312,265,424,689,False,False,False
72,0,1305,2007,3312,251,471,722,False,False,False
73,1,1305,2007,3312,302,561,863,False,False,False
74,1,1305,2007,3312,258,504,762,False,False,False
75,1,1305,2007,3312,218,461,679,False,False,False
76,1,1305,2007,3312,222,488,710,False,False,False
77,1,1305,2007,3312,214,472,686,False,False,False
78,0,1305,2007,3312,289,582,871,False,False,False
79,0,1305,2007,3312,264,1125,1389,False,False,False
80,0,1305,2007,3312,407,719,1126,False,False,False
81,1,1305,2007,3312,234,472,706,False,False,False
82,0,1305,2007,3312,225,381,606,False,False,False
83,1,1305,2007,3312,258,504,762,False,False,False
84,1,1305,2007,3312,226,452,678,False,False,False
85,1,1305,2007,3312,232,644,876,False,False,False
86,0,1305,2007,3312,1301,2006,3307,False,False,False
87,0,1305,2007,3312,222,587,809,False,False,False
88,1,1305,2007,3312,212,491,703,False,False,False
89,1,1305,2007,3312,258,454,712,False,False,False
90,0,1305,2007,3312,230,405,635,False,False,False
91,0,1305,2007,3312,217,491,708,False,False,False
92,1,1305,2007,3312,728,490,1218,False,False,False
93,1,1305,2007,3312,221,636,857,False,False,False
94,1,1305,2007,3312,1304,416,1720,False,False,False
95,1,1305,2007,3312,377,678,1055,False,False,False
96,0,1305,2007,3312,252,495,747,False,False,False
97,0,1305,2007,3312,330,612,942,False,False,False
98,0,1305,2007,3312,260,479,739,False,False,False
